latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
38.524728,-77.856341,015,033,1037,5297,2023-10-10,1546,L8,L,D
38.666941,-76.962471,015,033,3646,4839,2023-10-10,1546,L8,H,D
38.667205,-76.962823,015,033,3645,4838,2023-10-10,1546,L8,H,D
38.667211,-76.962478,015,033,3646,4838,2023-10-10,1546,L8,H,D
38.667481,-76.962486,015,033,3646,4837,2023-10-10,1546,L8,H,D
38.692588,-77.855767,015,033,1058,4676,2023-10-10,1546,L8,L,D
38.711166,-77.913424,015,033,893,4602,2023-10-10,1546,L8,H,D
38.785253,-77.529328,015,033,2014,4361,2023-10-10,1546,L8,H,D
38.813733,-76.684903,015,033,4461,4312,2023-10-10,1546,L8,L,D
38.840566,-76.858357,015,033,3961,4203,2023-10-10,1546,L8,L,D
38.847956,-76.783192,015,033,4179,4180,2023-10-10,1546,L8,M,D
38.848226,-76.783198,015,033,4179,4179,2023-10-10,1546,L8,H,D
38.861807,-75.759044,015,033,7142,4170,2023-10-10,1546,L8,L,D
38.862349,-75.758704,015,033,7143,4168,2023-10-10,1546,L8,L,D
38.935326,-77.058795,015,033,3389,3840,2023-10-10,1546,L8,H,D
38.967075,-76.973498,015,033,3638,3728,2023-10-10,1546,L8,L,D
39.010891,-77.155221,015,033,3117,3554,2023-10-10,1546,L8,H,D
39.028687,-77.643329,015,033,1710,3451,2023-10-10,1546,L8,H,D
39.028949,-77.643685,015,033,1709,3450,2023-10-10,1546,L8,L,D
39.028957,-77.643339,015,033,1710,3450,2023-10-10,1546,L8,H,D
39.043487,-77.586,015,033,1877,3401,2023-10-10,1546,L8,H,D
39.047255,-77.728939,015,033,1465,3375,2023-10-10,1546,L8,H,D
39.133189,-77.729479,015,033,1473,3057,2023-10-10,1546,L8,H,D
39.204296,-77.681862,015,033,1618,2798,2023-10-10,1546,L8,L,D
39.204566,-77.681872,015,033,1618,2797,2023-10-10,1546,L8,H,D
39.204836,-77.681882,015,033,1618,2796,2023-10-10,1546,L8,L,D
39.207939,-77.455495,015,033,2270,2803,2023-10-10,1546,L8,M,D
39.208209,-77.455504,015,033,2270,2802,2023-10-10,1546,L8,H,D
39.208216,-77.455157,015,033,2271,2802,2023-10-10,1546,L8,H,D
39.208486,-77.455166,015,033,2271,2801,2023-10-10,1546,L8,M,D
39.236098,-76.749184,015,033,4305,2746,2023-10-10,1546,L8,H,D
39.266491,-76.570162,015,033,4822,2643,2023-10-10,1546,L8,H,D
39.268205,-77.688122,015,033,1607,2561,2023-10-10,1546,L8,L,D
39.278135,-77.583831,015,033,1908,2533,2023-10-10,1546,L8,M,D
39.290125,-76.601301,015,033,4734,2554,2023-10-10,1546,L8,H,D
39.290129,-76.600953,015,033,4735,2554,2023-10-10,1546,L8,H,D
39.609178,-76.405599,015,032,3935,6633,2023-10-10,1546,L8,H,D
39.609178,-76.405599,015,033,5315,1383,2023-10-10,1546,L8,H,D
39.654441,-76.201952,015,033,5900,1224,2023-10-10,1546,L8,H,D
39.654441,-76.201952,015,032,4520,6474,2023-10-10,1546,L8,H,D
39.655629,-76.431017,015,033,5245,1210,2023-10-10,1546,L8,L,D
39.655629,-76.431017,015,032,3865,6460,2023-10-10,1546,L8,H,D
39.655895,-76.431372,015,033,5244,1209,2023-10-10,1546,L8,H,D
